Name	Categories	Path
Roboto Mono Thin for Powerline	mono,sans	/home/snow/.local/share/fonts/Roboto Mono Thin Italic for Powerline.ttf
Source Code Pro for Powerline	mono	/home/snow/.local/share/fonts/Source Code Pro for Powerline.otf
Source Code Pro for Powerline	mono	/home/snow/.local/share/fonts/Source Code Pro Powerline Italic.otf
Source Code Pro for Powerline	mono	/home/snow/.local/share/fonts/Source Code Pro Black for Powerline.otf
Source Code Pro for Powerline	mono	/home/snow/.local/share/fonts/Source Code Pro Semibold for Powerline.otf
Source Code Pro for Powerline	mono	/home/snow/.local/share/fonts/Source Code Pro Powerline BlackItalic.otf
Source Code Pro for Powerline	mono	/home/snow/.local/share/fonts/Source Code Pro Powerline MediumItalic.otf
Source Code Pro for Powerline	mono	/home/snow/.local/share/fonts/Source Code Pro Powerline ExtraLightItalic.otf
Source Code Pro for Powerline	mono	/home/snow/.local/share/fonts/Source Code Pro ExtraLight for Powerline.otf
Source Code Pro for Powerline	mono	/home/snow/.local/share/fonts/Source Code Pro Powerline LightItalic.otf
Source Code Pro for Powerline	mono	/home/snow/.local/share/fonts/Source Code Pro Powerline BoldItalic.otf
Source Code Pro for Powerline	mono	/home/snow/.local/share/fonts/Source Code Pro Light for Powerline.otf
Source Code Pro for Powerline	mono	/home/snow/.local/share/fonts/Source Code Pro Bold for Powerline.otf
Source Code Pro for Powerline	mono	/home/snow/.local/share/fonts/Source Code Pro Medium for Powerline.otf
Source Code Pro for Powerline	mono	/home/snow/.local/share/fonts/Source Code Pro Powerline SemiboldItalic.otf
Space Mono	mono	/home/snow/.local/share/fonts/SpaceMono-Regular.ttf
Space Mono	mono	/home/snow/.local/share/fonts/SpaceMono-Italic.ttf
Space Mono	mono	/home/snow/.local/share/fonts/SpaceMono-BoldItalic.ttf
Space Mono	mono	/home/snow/.local/share/fonts/SpaceMono-Bold.ttf
Space Mono for Powerline	mono	/home/snow/.local/share/fonts/Space Mono for Powerline.ttf
Space Mono for Powerline	mono	/home/snow/.local/share/fonts/Space Mono Italic for Powerline.ttf
Space Mono for Powerline	mono	/home/snow/.local/share/fonts/Space Mono Bold Italic for Powerline.ttf
Space Mono for Powerline	mono	/home/snow/.local/share/fonts/Space Mono Bold for Powerline.ttf
Standard Symbols PS	symbol	/usr/share/fonts/gsfonts/StandardSymbolsPS.otf
Symbol Neu for Powerline	symbol	/home/snow/.local/share/fonts/Symbol Neu for Powerline.ttf
Tinos for Powerline	other	/home/snow/.local/share/fonts/Tinos for Powerline.ttf
Tinos for Powerline	other	/home/snow/.local/share/fonts/Tinos Bold for Powerline.ttf
Tinos for Powerline	other	/home/snow/.local/share/fonts/Tinos Bold Italic for Powerline.ttf
Tinos for Powerline	other	/home/snow/.local/share/fonts/Tinos Italic for Powerline.ttf
Ubuntu Mono derivative Powerline	mono	/home/snow/.local/share/fonts/Ubuntu Mono derivative Powerline.ttf
Ubuntu Mono derivative Powerline	mono	/home/snow/.local/share/fonts/Ubuntu Mono derivative Powerline Italic.ttf
Ubuntu Mono derivative Powerline	mono	/home/snow/.local/share/fonts/Ubuntu Mono derivative Powerline Bold.ttf
Ubuntu Mono derivative Powerline	mono	/home/snow/.local/share/fonts/Ubuntu Mono derivative Powerline Bold Italic.ttf
URW Bookman	other	/usr/share/fonts/gsfonts/URWBookman-LightItalic.otf
URW Bookman	other	/usr/share/fonts/gsfonts/URWBookman-Light.otf
URW Bookman	other	/usr/share/fonts/gsfonts/URWBookman-DemiItalic.otf
URW Bookman	other	/usr/share/fonts/gsfonts/URWBookman-Demi.otf
URW Gothic	other	/usr/share/fonts/gsfonts/URWGothic-DemiOblique.otf
URW Gothic	other	/usr/share/fonts/gsfonts/URWGothic-Demi.otf
URW Gothic	other	/usr/share/fonts/gsfonts/URWGothic-Book.otf
URW Gothic	other	/usr/share/fonts/gsfonts/URWGothic-BookOblique.otf
Z003	other	/usr/share/fonts/gsfonts/Z003-MediumItalic.otf
